,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
0,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-16 00:00:00,3656.33,3777.19,3820.47,3633.04,53288.0,Y
1,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-16 00:00:00,3662.44,3779.86,3825.54,3637.74,41950.0,Y
2,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-16 00:00:00,3700.81,3832.57,3877.36,3681.47,116229.0,Y
3,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-16 00:00:00,3877.34,4009.2,4055.74,3856.51,85080.0,Y
4,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-16 00:00:00,3647.97,3769.12,3813.51,3623.42,456600.0,Y
5,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-15 23:00:00,3774.15,3653.19,3780.29,3640.86,42399.0,Y
6,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-15 23:00:00,4008.49,3876.34,4015.06,3859.9,50289.0,Y
7,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-15 23:00:00,3780.56,3662.11,3783.3,3647.85,28642.0,Y
8,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-15 23:00:00,3767.62,3648.12,3774.99,3633.02,382228.0,Y
9,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-15 23:00:00,3826.56,3701.94,3833.28,3688.5,78929.0,Y
10,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-15 22:00:00,3816.09,3774.51,3840.53,3737.78,21062.0,Y
11,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-15 22:00:00,4060.81,4010.22,4090.98,3972.79,27422.0,Y
12,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-15 22:00:00,3806.71,3767.61,3829.0,3728.94,161996.0,Y
13,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-15 22:00:00,3819.79,3781.44,3846.38,3745.6,14138.0,Y
14,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-15 22:00:00,3867.61,3827.51,3893.49,3788.5,37482.0,Y
15,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-15 21:00:00,3799.56,3820.59,3833.2,3794.36,7767.0,Y
16,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-15 21:00:00,3850.45,3867.45,3882.9,3840.72,22789.0,Y
17,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-15 21:00:00,4038.51,4061.81,4073.14,4029.78,14711.0,Y
18,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-15 21:00:00,3790.03,3805.9,3821.33,3782.8,55935.0,Y
19,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-15 21:00:00,3796.76,3815.45,3830.03,3789.39,8108.0,Y
20,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-15 20:00:00,3808.64,3849.73,3875.01,3803.04,40896.0,Y
21,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-15 20:00:00,3761.14,3797.09,3823.19,3753.8,23277.0,Y
22,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-15 20:00:00,3752.0,3789.85,3815.5,3744.28,157043.0,Y
23,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-15 20:00:00,3995.02,4037.0,4065.82,3989.48,30986.0,Y
24,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-15 20:00:00,3762.2,3801.35,3825.95,3754.47,14973.0,Y
25,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-15 19:00:00,3998.13,3997.62,4012.76,3888.88,48773.0,Y
26,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-15 19:00:00,3749.07,3751.85,3761.44,3650.0,242453.0,Y
27,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-15 19:00:00,3759.34,3758.06,3772.12,3663.37,25352.0,Y
28,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-15 19:00:00,3806.61,3808.43,3819.75,3704.27,62754.0,Y
29,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-15 19:00:00,3758.8,3759.43,3770.08,3656.01,44609.0,Y
30,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-15 18:00:00,3801.86,3804.51,3834.99,3767.74,42691.0,Y
31,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-15 18:00:00,3992.55,3995.58,4026.31,3956.14,27241.0,Y
32,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-15 18:00:00,3748.51,3754.41,3785.19,3721.67,28542.0,Y
33,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-15 18:00:00,3757.52,3758.63,3787.1,3722.4,14341.0,Y
34,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-15 18:00:00,3743.92,3748.21,3774.79,3713.19,136321.0,Y
35,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-15 17:00:00,3772.26,3743.61,3787.98,3704.0,242430.0,Y
36,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-15 17:00:00,3838.75,3803.74,3848.1,3760.84,68156.0,Y
37,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-15 17:00:00,4031.13,3993.38,4038.15,3946.8,46998.0,Y
38,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-15 17:00:00,3780.68,3753.77,3794.49,3713.03,37397.0,Y
39,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-15 17:00:00,3791.27,3758.62,3799.87,3720.35,25225.0,Y
40,okex,ETH_USDT,ETH-USDT-210521,60min,2021-05-15 16:00:00,3889.04,3778.22,3889.04,3741.05,72391.0,Y
41,okex,ETH_USDT,ETH-USDT-SWAP,60min,2021-05-15 16:00:00,3876.77,3772.26,3877.0,3728.31,481709.0,Y
42,okex,ETH_USDT,ETH-USDT-210924,60min,2021-05-15 16:00:00,4152.31,4028.71,4152.31,3980.08,98471.0,Y
43,okex,ETH_USDT,ETH-USDT-210625,60min,2021-05-15 16:00:00,3956.96,3838.63,3956.96,3793.08,141273.0,Y
44,okex,ETH_USDT,ETH-USDT-210528,60min,2021-05-15 16:00:00,3903.96,3789.43,3903.96,3750.27,49501.0,Y
