,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
0,binance,BTC_USDT,BTCUSDT,60min,2021-05-25 00:00:00,38810.99,39387.52,39791.77,38502.73,7313.987303,N
1,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 23:00:00,38433.06,38796.29,38984.15,38218.39,2984.342663,N
2,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 22:00:00,38467.42,38429.4,38870.0,37955.42,3758.641858,N
3,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 21:00:00,38951.0,38449.79,39300.31,38308.52,4563.536167,N
4,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 20:00:00,39606.11,38951.0,39920.0,38717.0,9066.996133,N
5,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 19:00:00,37911.73,39606.1,39787.96,37729.7,10517.792354,N
6,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 18:00:00,37667.88,37911.79,38350.0,37397.56,5257.493025,N
7,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 17:00:00,37357.22,37669.77,37879.0,37186.5,4572.75249,N
8,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 16:00:00,37539.64,37357.22,37975.0,36818.55,8111.457178,N
9,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 15:00:00,37672.27,37539.63,38200.0,37266.58,6329.908299,N
10,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 14:00:00,37578.59,37680.98,38069.01,37320.39,6360.547637,N
11,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 13:00:00,38211.21,37571.6,38413.0,37377.0,9474.330251,N
12,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 12:00:00,37600.01,38211.21,38637.7,37371.03,10478.877027,N
13,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 11:00:00,36399.18,37600.01,37922.18,36387.92,11649.09829,N
14,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 10:00:00,36204.12,36399.18,36684.99,35877.52,7734.469164,N
15,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 09:00:00,36620.0,36202.0,36620.0,36175.84,5093.152736,N
16,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 08:00:00,36645.79,36619.99,36850.0,36100.0,7658.403479,N
17,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 07:00:00,36089.7,36645.79,36887.0,35908.02,10323.254135,N
18,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 06:00:00,35292.59,36089.71,36222.0,35010.7,5731.491273,N
19,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 05:00:00,34886.16,35292.6,35489.88,34687.99,3905.438519,N
20,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 04:00:00,35250.56,34881.09,35423.36,34031.0,5630.17807,N
21,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 03:00:00,35271.21,35251.37,35889.0,35114.01,4913.189924,N
22,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 02:00:00,35089.33,35267.68,35456.61,34800.0,5121.827207,N
23,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 01:00:00,35191.39,35089.33,35554.0,34675.01,5123.562399,N
24,binance,BTC_USDT,BTCUSDT,60min,2021-05-24 00:00:00,34681.44,35191.4,35726.34,34664.77,7270.153693,N
25,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 23:00:00,33825.84,34655.25,35000.0,33823.23,4415.321426,N
26,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 22:00:00,34007.57,33832.77,34888.0,33555.0,4830.916672,N
27,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 21:00:00,33627.39,34007.56,34480.0,33591.8,5442.833543,N
28,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 20:00:00,33047.33,33630.03,33973.98,33045.31,6601.071702,N
29,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 19:00:00,32539.08,33051.73,33449.0,32203.87,7063.170002,N
30,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 18:00:00,32716.0,32529.81,33469.14,31777.89,10787.142597,N
31,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 17:00:00,32237.0,32715.82,33900.0,32110.39,14018.137428,N
32,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 16:00:00,33316.42,32237.0,33700.0,31111.01,27065.214835,N
33,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 15:00:00,33891.91,33318.09,34015.9,33000.0,7766.488666,N
34,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 14:00:00,33647.25,33891.91,34583.39,33000.0,11148.123724,N
35,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 13:00:00,33944.76,33642.07,34169.76,32600.0,17683.020616,N
36,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 12:00:00,35386.8,33944.77,35800.0,33118.93,17222.705813,N
37,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 11:00:00,35004.82,35389.1,35800.0,34600.0,6744.387033,N
38,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 10:00:00,34207.02,35004.81,35822.21,34118.72,9389.783513,N
39,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 09:00:00,34376.0,34202.58,35300.0,33925.18,13905.215271,N
40,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 08:00:00,35927.7,34376.0,35930.89,33800.59,18304.80377,N
41,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 07:00:00,36650.37,35927.69,36860.74,35530.0,7315.492727,N
42,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 06:00:00,36879.99,36650.38,37323.23,36318.0,5365.172619,N
43,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 05:00:00,37198.73,36883.04,37198.73,36572.41,4425.936947,N
44,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 04:00:00,37421.59,37198.73,37421.59,37050.66,2786.744936,N
45,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 03:00:00,37470.54,37421.59,37663.64,37234.4,2634.762619,N
46,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 02:00:00,37907.91,37470.16,38018.93,37370.01,2901.293075,N
47,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 01:00:00,38191.34,37907.92,38222.96,37871.84,2539.143696,N
48,binance,BTC_USDT,BTCUSDT,60min,2021-05-23 00:00:00,37458.51,38191.0,38270.64,36668.99,6779.163363,N
49,binance,BTC_USDT,BTCUSDT,60min,2021-05-22 23:00:00,37621.62,37449.73,37850.0,37377.5,2730.113079,N
50,binance,BTC_USDT,BTCUSDT,60min,2021-05-22 22:00:00,38153.91,37622.38,38400.0,37338.18,4123.746503,N
51,binance,BTC_USDT,BTCUSDT,60min,2021-05-22 21:00:00,38022.81,38153.77,38362.33,37826.07,3136.553646,N
