timestamp,open,high,low,close
2020-05-17T12:00:00.000,9539.00,9568.72,9470.00,9536.32
2020-05-17T16:00:00.000,9536.22,9550.00,9447.13,9518.43
2020-05-17T20:00:00.000,9518.43,9880.00,9517.89,9818.43
2020-05-18T00:00:00.000,9818.43,9836.72,9700.68,9768.64
2020-05-18T04:00:00.000,9768.62,9794.60,9600.00,9678.57
2020-05-18T08:00:00.000,9677.31,9958.67,9677.19,9858.12
2020-05-18T12:00:00.000,9858.14,9910.99,9722.96,9782.66
2020-05-18T16:00:00.000,9781.46,9795.00,9450.00,9628.68
2020-05-18T20:00:00.000,9629.34,9730.00,9560.00,9663.30
2020-05-19T00:00:00.000,9664.09,9718.62,9540.01,9698.65
2020-05-19T04:00:00.000,9698.09,9753.18,9645.95,9731.10
2020-05-19T08:00:00.000,9731.11,9739.00,9480.00,9526.23
2020-05-19T12:00:00.000,9526.02,9619.00,9462.00,9570.18
2020-05-19T16:00:00.000,9570.00,9900.00,9567.99,9748.30
2020-05-19T20:00:00.000,9748.31,9760.29,9555.00,9685.00
2020-05-20T00:00:00.000,9684.99,9728.97,9620.00,9643.36
2020-05-20T04:00:00.000,9643.60,9795.00,9617.13,9773.64
2020-05-20T08:00:00.000,9772.66,9800.00,9706.60,9722.76
2020-05-20T12:00:00.000,9722.78,9838.00,9635.00,9762.00
2020-05-20T16:00:00.000,9761.82,9808.00,9711.02,9730.00
2020-05-20T20:00:00.000,9731.18,9798.00,9281.42,9410.03
2020-05-21T00:00:00.000,9410.02,9541.91,9353.00,9525.14
2020-05-21T04:00:00.000,9525.14,9594.70,9432.10,9508.11
2020-05-21T08:00:00.000,9508.00,9573.00,9444.36,9479.96
2020-05-21T12:00:00.000,9479.97,9525.00,9413.98,9453.50
2020-05-21T16:00:00.000,9453.61,9498.49,9225.53,9385.00
2020-05-21T20:00:00.000,9385.00,9390.00,8932.13,9082.30
2020-05-22T00:00:00.000,9081.89,9130.00,8812.20,9062.54
2020-05-22T04:00:00.000,9062.53,9159.87,9005.22,9060.00
2020-05-22T08:00:00.000,9060.00,9128.58,8953.34,8991.49
2020-05-22T12:00:00.000,8991.25,9110.00,8920.00,9077.28
2020-05-22T16:00:00.000,9077.28,9190.86,9041.00,9162.00
2020-05-22T20:00:00.000,9162.53,9219.58,9076.41,9219.58
2020-05-23T00:00:00.000,9219.58,9259.38,9134.32,9170.99
2020-05-23T04:00:00.000,9170.99,9211.90,9124.15,9166.40
2020-05-23T08:00:00.000,9166.43,9300.00,9166.43,9280.00
2020-05-23T12:00:00.000,9280.00,9295.00,9207.31,9252.01
2020-05-23T16:00:00.000,9252.00,9253.82,9092.00,9168.95
2020-05-23T20:00:00.000,9168.95,9216.00,9076.90,9195.46
2020-05-24T00:00:00.000,9195.49,9206.98,9112.34,9177.01
2020-05-24T04:00:00.000,9177.00,9245.33,9150.00,9176.41
2020-05-24T08:00:00.000,9176.32,9227.21,9111.00,9188.91
2020-05-24T12:00:00.000,9188.90,9293.00,9180.00,9251.22
2020-05-24T16:00:00.000,9251.22,9294.44,9089.00,9111.31
2020-05-24T20:00:00.000,9111.04,9176.44,9006.00,9050.00
2020-05-25T00:00:00.000,9050.00,9051.15,8851.24,9015.44
2020-05-25T04:00:00.000,9014.31,9090.00,8674.00,8711.37
2020-05-25T08:00:00.000,8711.37,8817.07,8623.38,8779.99
2020-05-25T12:00:00.000,8780.00,8868.20,8755.29,8861.64
2020-05-25T16:00:00.000,8861.65,8876.60,8657.00,8746.30
2020-05-25T20:00:00.000,8746.27,8853.48,8724.34,8775.67
2020-05-26T00:00:00.000,8775.68,8977.00,8756.60,8922.18
2020-05-26T04:00:00.000,8922.18,8939.93,8860.00,8895.65
2020-05-26T08:00:00.000,8895.66,8924.97,8817.36,8900.00
2020-05-26T12:00:00.000,8900.01,8963.00,8853.50,8951.96
2020-05-26T16:00:00.000,8951.98,9011.82,8777.00,8864.37
2020-05-26T20:00:00.000,8864.38,8912.79,8700.00,8720.48
2020-05-27T00:00:00.000,8720.59,8816.00,8693.18,8795.98
2020-05-27T04:00:00.000,8795.99,8877.33,8795.38,8837.05
2020-05-27T08:00:00.000,8837.88,8892.00,8811.00,8825.03
2020-05-27T12:00:00.000,8825.33,8880.00,8822.02,8841.85
2020-05-27T16:00:00.000,8841.73,9196.14,8841.23,9144.99
2020-05-27T20:00:00.000,9144.91,9230.00,9116.01,9143.00
2020-05-28T00:00:00.000,9142.88,9215.00,9129.67,9153.49
2020-05-28T04:00:00.000,9153.99,9199.00,9046.10,9197.32
2020-05-28T08:00:00.000,9197.32,9280.00,9151.03,9166.01
2020-05-28T12:00:00.000,9166.00,9194.88,9120.00,9146.20
